estado,mov_codigo,caminho_prefixo,comp_descricao,comp_valor,grau,papel,confianca,observacao
distribuicao,26,,,,,entrada,alta,Distribuição (TPU 26)
distribuicao,36,,,,,evidencia,media,Redistribuição — não reinicia o relógio; sinaliza mudança de unidade
distribuicao,12296,,,,,evidencia,baixa,Registro processual (SAJ/TJAL) — protocolo sem distribuição explícita
analise_inicial,15085,,,,,evidencia,media,Determinação de emenda à inicial
analise_inicial,12261,,,,,evidencia,media,Recebimento de emenda à inicial
citacao,,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Citação,,,,entrada,alta,Subárvore Citação da TPU (12284…; PJe/eproc)
citacao,60,,tipo_de_documento,170,,entrada,media,Carta expedida (SAJ) — pode ser citação ou intimação postal
citacao,60,,tipo_de_documento,78,,entrada,media,Mandado expedido — pode ser citação ou intimação por oficial
citacao,60,,tipo_de_documento,76,,entrada,media,Carta precatória expedida
citacao,581,,tipo_de_documento,74,,evidencia,media,AR juntado (retorno da comunicação postal)
citacao,106,,resultado,7,,evidencia,media,Mandado devolvido: entregue ao destinatário
citacao,12282,,,,,evidencia,baixa,Comunicação eletrônica expedida (citação ou intimação; ambíguo)
defesa,85,,tipo_de_peticao,45,,entrada,alta,Contestação (PJe tipa a petição; SAJ não)
defesa,85,,tipo_de_peticao,70,,evidencia,alta,Réplica
instrucao,12387,,,,,entrada,alta,Decisão de saneamento e organização (art. 357 CPC)
instrucao,12306,,,,,entrada,alta,Nomeação de perito
instrucao,970,,tipo_de_audiencia,22,,entrada,alta,Audiência de instrução
instrucao,970,,tipo_de_audiencia,23,,entrada,alta,Audiência de instrução e julgamento
audiencia,970,,situacao_da_audiencia,13,,entrada,alta,Audiência realizada
audiencia,12624,,,,,entrada,media,Audiência do art. 334 CPC
audiencia,12740,,,,,entrada,media,Audiência de conciliação
audiencia,970,,situacao_da_audiencia,9,,evidencia,media,Audiência designada (agenda; não é realização)
audiencia,970,,,,,evidencia,baixa,Audiência sem situação informada
conclusao_julgamento,51,,tipo_de_conclusao,36,,entrada,alta,Conclusos para julgamento
conclusao,51,,,,,entrada,alta,Conclusos para despacho/decisão (tempo de gabinete)
suspensao,,Magistrado > Decisão > Suspensão ou Sobrestamento,,,,entrada,alta,Subárvore Suspensão (Decisão)
